Id,SalePrice
1,12.2476943202
2,12.1090109327
3,12.317166693
4,11.8493977016
5,12.4292161968
6,11.8705999092
7,12.6346030266
8,12.2060726455
9,11.7745202027
10,11.6784399034
11,11.7714361601
12,12.751299696
13,11.8775685786
14,12.5407575716
15,11.9640010843
16,11.7905572016
17,11.9117015849
18,11.4075649493
19,11.9766594812
20,11.8422292121
21,12.6925031125
22,11.8451027773
23,12.3458345879
24,11.7745202027
25,11.9447078814
26,12.4541039124
27,11.8115474775
28,12.6313403809
29,12.2428866187
30,11.1345890243
31,10.5966347331
32,11.9140478236
33,12.1001564199
34,12.0167264738
35,12.5335762122
36,12.6410965559
37,11.8844890214
38,11.9381932004
39,11.5991031612
40,11.3144745262
41,11.9829290942
42,12.043553716
43,11.8775685786
44,11.7772109596
45,11.8565151694
46,12.6757637259
47,12.3870850124
48,12.4280154763
49,11.6351430977
50,11.7519423654
51,12.0839050116
52,11.648330102
53,11.6082356448
54,12.8609986133
55,11.7752897294
56,12.1034860568
57,12.0581525155
58,12.1884177103
59,12.9917534275
60,11.7352686961
61,11.970350312
62,11.5228757958
63,12.2184951655
64,11.8493977016
65,12.2991075115
66,12.6666570529
67,12.1007121299
68,12.3282902783
69,11.2897819137
70,12.3238556812
71,12.4049235043
72,11.7714361601
73,12.1281111041
74,11.8837991283
75,11.5843154611
76,11.4186147855
77,11.8185702378
78,11.7519423654
79,11.8240798936
80,11.6082356448
81,12.1730327915
82,11.941455846
83,12.4090134895
84,11.7479975871
85,12.0346910288
86,12.46843691
87,12.0668105782
88,12.0106658492
89,11.3504065355
90,11.724805824
91,11.6073261404
92,11.4988265406
93,12.0045682693
94,11.8048485317
95,12.2295450017
96,12.1281111041
97,12.273731294
98,11.4589971229
99,11.3265958868
100,11.7671800113
101,12.2307652581
102,12.0895388293
103,11.6865762053
104,12.2005574648
105,12.0406082058
106,12.4292161968
107,11.512925465
108,11.6526874073
109,11.6526874073
110,12.1547793511
111,11.8270060113
112,12.1007121299
113,12.8583197035
114,12.2876526325
115,12.4665119816
116,12.078239274
117,11.8422292121
118,11.9511803959
119,12.6760762748
120,12.0075607293
121,12.1007121299
122,11.512925465
123,11.8204101647
124,11.9440583198
125,12.1062523102
126,11.3445068133
127,11.7597855429
128,11.3736633976
129,11.9511803959
130,11.9183905731
131,12.3282902783
132,12.4049235043
133,11.9233781146
134,12.3013828253
135,12.1007121299
136,12.0668105782
137,11.8705999092
138,12.0494188355
139,12.3458345879
140,12.3523351525
141,11.6526874073
142,12.46843691
143,12.0197430673
144,12.2258752728
145,11.7360690163
146,11.7752897294
147,11.5617156291
148,12.3126823806
149,11.8565151694
150,11.6526874073
151,11.7117763237
152,12.8277291949
153,12.1547793511
154,12.3673407931
155,11.7360690163
156,11.2772031314
157,11.6036798282
158,12.5043236693
159,12.4486265904
160,12.6760762748
161,11.9984332808
162,12.9299914848
163,12.3013828253
164,11.544424132
165,11.9316357998
166,11.7558716436
167,12.1547793511
168,12.6934986205
169,12.1199699465
170,12.3371009079
171,11.7636841833
172,12.2783933071
173,12.3842188309
174,12.0015054798
175,12.1226910366
176,12.4008167223
177,12.2596134125
178,12.0581525155
179,13.1260306448
180,11.512925465
181,12.0839050116
182,12.2065725206
183,11.6952470218
184,12.2060726455
185,11.7519423654
186,13.071070083
187,12.0610468735
188,11.8130300574
189,11.9403933926
190,12.5637470898
191,12.6603279178
192,12.1226910366
193,12.165250651
194,11.7752897294
195,11.7519423654
196,11.9083402372
197,12.6503481262
198,12.3673407931
199,11.5521461781
200,12.5241626742
201,11.8493977016
202,12.0523385456
203,11.6262541503
204,11.9117015849
205,11.6082356448
206,12.1034860568
207,11.8768738929
208,11.8565151694
209,12.5317727852
210,11.8844890214
211,11.4927227577
212,12.1335019527
213,12.4398712298
214,11.9576112862
215,11.9938072124
216,11.8089476617
217,12.2548628097
218,11.5805841134
219,12.6491546172
220,12.0271851855
221,12.2302773342
222,12.2060726455
223,12.1001564199
224,11.4824662575
225,12.8642401072
226,11.6262541503
227,12.577636202
228,11.5711943731
229,11.7360690163
230,12.1678514327
231,11.9049675527
232,12.9066918409
233,11.4563551135
234,11.7613468235
235,12.2853458264
236,11.4019939043
237,12.130810161
238,12.178187442
239,12.6698066618
240,11.6351430977
241,12.478006361
242,11.6127707999
243,11.2772031314
244,11.6952470218
245,12.2307652581
246,12.3946247521
247,11.8277362048
248,11.8493977016
249,12.1007121299
250,12.5317727852
251,11.2450460198
252,12.3673407931
253,12.0610468735
254,11.970350312
255,11.8844890214
256,12.3458345879
257,12.2428866187
258,12.3013828253
259,12.3523351525
260,11.4824662575
261,12.078239274
262,12.5281561447
263,11.9250351158
264,11.7752897294
265,11.1982147201
266,12.0753943219
267,12.1281111041
268,12.0979304869
269,11.6994050319
270,11.9049675527
271,12.4912515878
272,12.3946247521
273,12.577636202
274,11.8422292121
275,11.7320609949
276,12.2307652581
277,12.211060187
278,11.8565151694
279,12.9367516138
280,12.165250651
281,12.3392914893
282,12.1281111041
283,12.2428866187
